Date,Open,High,Low,Close,Adj Close,Volume
2022-08-30,4214.0,4261.60009765625,4192.64990234375,4245.0498046875,4212.1103515625,471981
2022-09-01,4216.0,4232.5,4197.0498046875,4202.10009765625,4169.49365234375,331340
2022-09-02,4223.14990234375,4232.0,4173.9501953125,4189.9501953125,4157.43798828125,201656
2022-09-05,4195.0,4219.5498046875,4155.0,4214.25,4181.54931640625,316343
2022-09-06,4230.0,4252.0,4185.0,4239.2001953125,4206.30615234375,225875
2022-09-07,4215.0,4266.0,4212.2998046875,4249.2998046875,4216.3271484375,214795
2022-09-08,4296.9501953125,4296.9501953125,4252.7001953125,4271.64990234375,4238.50390625,315509
2022-09-09,4272.5,4319.5,4246.0498046875,4255.10009765625,4222.08251953125,314126
2022-09-12,4260.0,4300.0,4244.7001953125,4261.14990234375,4228.08544921875,252549
2022-09-13,4264.0498046875,4306.9501953125,4237.0,4252.89990234375,4219.8994140625,441873
2022-09-14,4165.35009765625,4262.4501953125,4165.35009765625,4214.14990234375,4181.4501953125,344708
2022-09-15,4235.25,4235.25,4141.35009765625,4169.0,4136.650390625,376273
2022-09-16,4185.0,4185.0,4060.800048828125,4077.35009765625,4045.7119140625,378704
2022-09-19,4070.0,4111.0498046875,3997.0,4099.14990234375,4067.342529296875,301288
2022-09-20,4112.0,4238.0,4106.10009765625,4216.0,4183.2861328125,591569
2022-09-21,4219.9501953125,4269.10009765625,4132.85009765625,4152.75,4120.52685546875,378945
2022-09-22,4110.10009765625,4222.10009765625,4108.39990234375,4182.39990234375,4149.9462890625,478383
2022-09-23,4163.0,4214.75,4129.5,4139.2001953125,4107.08203125,331988
2022-09-26,4119.2001953125,4158.7998046875,4089.300048828125,4127.85009765625,4095.820068359375,411058
2022-09-27,4148.5,4200.0,4125.2998046875,4181.60009765625,4149.15283203125,297089
2022-09-28,4178.14990234375,4297.0,4178.14990234375,4269.7001953125,4236.5693359375,626648
2022-09-29,4291.25,4407.0,4286.0,4360.7001953125,4326.86328125,1088558
2022-09-30,4382.5498046875,4405.0,4272.0498046875,4335.7001953125,4302.05712890625,632913
2022-10-03,4315.0,4439.0,4312.39990234375,4419.64990234375,4385.35546875,695258
2022-10-04,4446.0,4449.89990234375,4376.0498046875,4413.9501953125,4379.7001953125,308654
2022-10-06,4436.0498046875,4447.9501953125,4369.89990234375,4397.5498046875,4363.4267578125,246239
2022-10-07,4390.0,4408.5498046875,4372.0,4376.64990234375,4342.689453125,267773
2022-10-10,4350.0,4388.0,4320.0,4380.0,4346.01318359375,243749
2022-10-11,4387.0,4388.0,4252.0,4282.75,4249.51806640625,297382
2022-10-12,4300.0,4310.0,4215.0498046875,4241.14990234375,4208.24072265625,294020
2022-10-13,4249.9501953125,4309.0,4241.2998046875,4254.64990234375,4221.6357421875,302784
2022-10-14,4305.0,4340.0,4263.0498046875,4310.7998046875,4277.35009765625,248801
2022-10-17,4305.0,4374.0,4282.5,4335.2001953125,4301.56103515625,210140
2022-10-18,4356.89990234375,4373.64990234375,4335.2001953125,4356.5498046875,4322.7451171875,144236
2022-10-19,4360.0498046875,4394.0498046875,4305.0498046875,4316.89990234375,4283.40283203125,172168
2022-10-20,4305.0,4355.0,4280.0,4349.0498046875,4315.30322265625,257524
2022-10-21,4355.0,4388.9501953125,4308.60009765625,4330.7998046875,4297.19482421875,200595
2022-10-24,4364.7998046875,4384.0,4355.0,4377.5,4343.53271484375,31768
2022-10-25,4389.9501953125,4477.5,4371.0,4442.35009765625,4407.87939453125,623655
2022-10-27,4460.0,4519.0,4450.35009765625,4491.2001953125,4456.3505859375,441474
2022-10-28,4485.0,4502.75,4430.0,4459.9501953125,4425.34326171875,353586
2022-10-31,4531.0,4625.0,4344.64990234375,4433.7001953125,4399.296875,1825761
2022-11-01,4435.25,4580.0,4435.25,4535.2998046875,4500.10791015625,1070196
2022-11-02,4545.0498046875,4645.0,4545.0498046875,4555.64990234375,4520.30029296875,741756
2022-11-03,4555.64990234375,4600.0,4527.35009765625,4589.89990234375,4554.28466796875,353215
2022-11-04,4590.0498046875,4600.0,4512.4501953125,4525.10009765625,4489.9873046875,492676
2022-11-07,4531.0,4547.2998046875,4444.39990234375,4485.4501953125,4450.6455078125,420017
2022-11-09,4540.0,4565.7998046875,4500.10009765625,4534.89990234375,4499.71142578125,713112
2022-11-10,4539.9501953125,4616.0,4528.0,4549.4501953125,4514.14892578125,591953
2022-11-11,4572.2001953125,4579.0,4502.0,4539.4501953125,4504.22607421875,325043
2022-11-14,4400.0,4483.85009765625,4315.0,4363.64990234375,4329.7900390625,744485
2022-11-15,4367.2001953125,4442.60009765625,4363.7001953125,4433.7001953125,4399.296875,374520
2022-11-16,4433.64990234375,4544.9501953125,4393.2001953125,4481.0,4446.2294921875,522192
2022-11-17,4480.9501953125,4488.4501953125,4382.35009765625,4421.2998046875,4386.99267578125,312373
2022-11-18,4423.75,4434.5498046875,4375.5,4409.0498046875,4374.837890625,338734
2022-11-21,4380.0,4393.0,4317.5498046875,4349.85009765625,4316.09716796875,430608
2022-11-22,4371.60009765625,4402.60009765625,4326.0,4362.5,4328.64892578125,403095
2022-11-23,4380.0,4420.0,4360.0,4405.64990234375,4371.46435546875,392869
2022-11-24,4427.7001953125,4439.9501953125,4375.85009765625,4413.85009765625,4379.6005859375,237622
2022-11-25,4423.85009765625,4434.9501953125,4389.0,4418.10009765625,4383.81787109375,295409
2022-11-28,4414.75,4447.39990234375,4386.5,4402.0,4367.8427734375,306168
2022-11-29,4405.10009765625,4478.7001953125,4404.0498046875,4453.35009765625,4418.79443359375,409138
2022-11-30,4470.0,4517.9501953125,4441.0,4487.14990234375,4452.33203125,851368
2022-12-01,4509.60009765625,4531.7998046875,4446.7998046875,4474.35009765625,4439.63134765625,387346
2022-12-02,4484.9501953125,4524.0,4460.14990234375,4510.39990234375,4475.4013671875,416008
2022-12-05,4529.89990234375,4532.0,4450.14990234375,4479.39990234375,4444.64208984375,392339
2022-12-06,4460.10009765625,4474.4501953125,4359.0498046875,4374.2001953125,4340.25830078125,348459
2022-12-07,4365.0,4383.0,4320.0,4361.5,4327.65673828125,332207
2022-12-08,4373.9501953125,4379.25,4331.0498046875,4356.2001953125,4322.3984375,277325
2022-12-09,4375.0,4414.7998046875,4354.25,4407.10009765625,4372.9033203125,307973
2022-12-12,4367.0498046875,4462.89990234375,4367.0498046875,4452.25,4417.70263671875,273595
2022-12-13,4450.2001953125,4474.64990234375,4440.5,4458.14990234375,4423.556640625,217509
2022-12-14,4475.0,4513.5,4451.35009765625,4504.5498046875,4469.5966796875,278401
2022-12-15,4486.14990234375,4527.60009765625,4461.0,4468.9501953125,4434.2734375,241811
2022-12-16,4434.5,4458.85009765625,4261.25,4309.10009765625,4275.66357421875,3356609
2022-12-19,4344.9501953125,4408.64990234375,4315.0498046875,4396.0498046875,4361.9384765625,332351
2022-12-20,4380.0,4390.0,4308.10009765625,4369.75,4335.8427734375,242821
2022-12-21,4379.9501953125,4435.0,4353.39990234375,4407.5498046875,4373.349609375,347923
2022-12-22,4430.0,4456.0,4315.10009765625,4349.25,4315.501953125,347470
2022-12-23,4325.0498046875,4418.0,4291.25,4310.4501953125,4277.00341796875,499756
2022-12-26,4332.0498046875,4347.0,4230.0498046875,4248.60009765625,4215.6328125,318608
2022-12-27,4269.7998046875,4269.7998046875,4201.0,4250.85009765625,4217.86572265625,273249
2022-12-28,4250.85009765625,4266.64990234375,4215.9501953125,4252.75,4219.7509765625,217601
2022-12-29,4275.0,4354.64990234375,4223.0498046875,4260.60009765625,4227.5400390625,812932
